InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,source_file,is_cancellation,line_total
556890,85099B,JUMBO BAG RED RETROSPOT,30,2011-06-15 12:48:00,2.08,17581.0,United Kingdom,online_retail_I,False,62.400000000000006
534441,47310M,"SMALL POP BOX,FUNKY MONKEY",12,2010-11-22 15:19:00,1.25,13643.0,United Kingdom,online_retail_II,False,15.0
522914,22698,PINK REGENCY TEACUP AND SAUCER,6,2010-09-17 13:53:00,2.95,17139.0,United Kingdom,online_retail_II,False,17.700000000000003
502872,84946,ANTIQUE SILVER TEA GLASS ETCHED,2,2010-03-29 09:59:00,2.51,,United Kingdom,online_retail_II,False,5.02
571409,23507,MINI PLAYING CARDS BUFFALO BILL ,20,2011-10-17 12:25:00,0.42,14911.0,EIRE,online_retail_I,False,8.4
507238,22564,ALPHABET STENCIL CRAFT,12,2010-05-07 09:40:00,1.25,15680.0,United Kingdom,online_retail_II,False,15.0
573511,23480,MINI LIGHTS WOODLAND MUSHROOMS,12,2011-10-31 12:25:00,3.75,12347.0,Iceland,online_retail_I,False,45.0
569372,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2011-10-03 16:04:00,1.25,,United Kingdom,online_retail_I,False,1.25
532618,48111,DOORMAT 3 SMILEY CATS,1,2010-11-12 15:23:00,14.43,,United Kingdom,online_retail_II,False,14.43
535379,21166,COOK WITH WINE METAL SIGN ,6,2010-11-25 18:56:00,1.95,15796.0,United Kingdom,online_retail_II,False,11.7
571244,22993,SET OF 4 PANTRY JELLY MOULDS,2,2011-10-14 15:46:00,1.25,17180.0,United Kingdom,online_retail_I,False,2.5
503790,21280,VINTAGE KITCHEN PRINT VEGETABLES,1,2010-04-07 12:45:00,2.55,13174.0,United Kingdom,online_retail_II,False,2.55
546122,21175,GIN + TONIC DIET METAL SIGN,1,2011-03-09 14:32:00,2.55,15581.0,United Kingdom,online_retail_I,False,2.55
575756,23322,LARGE WHITE HEART OF WICKER,1,2011-11-11 10:48:00,2.95,18118.0,United Kingdom,online_retail_I,False,2.95
558199,22064,PINK DOUGHNUT TRINKET POT ,10,2011-06-27 12:58:00,1.65,17110.0,United Kingdom,online_retail_I,False,16.5
550191,21654,RIDGED GLASS FINGER BOWL,6,2011-04-14 19:59:00,0.39,16806.0,United Kingdom,online_retail_I,False,2.34
510064,22528,GARDENERS KNEELING PAD,1,2010-05-27 10:56:00,2.51,,United Kingdom,online_retail_II,False,2.51
556526,23256,CHILDRENS CUTLERY SPACEBOY ,8,2011-06-13 11:33:00,4.15,12732.0,France,online_retail_I,False,33.2
521403,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2010-09-06 10:19:00,2.55,12744.0,Singapore,online_retail_II,False,163.2
509041,21356,TOAST ITS - FAIRY FLOWER,12,2010-05-20 10:04:00,1.25,14334.0,United Kingdom,online_retail_II,False,15.0
567668,20724,RED RETROSPOT CHARLOTTE BAG,1,2011-09-21 15:29:00,1.63,,United Kingdom,online_retail_I,False,1.63
494659,15056BL,EDWARDIAN PARASOL BLACK,6,2010-01-17 13:41:00,4.95,17850.0,United Kingdom,online_retail_II,False,29.700000000000003
575176,23292,SPACEBOY CHILDRENS CUP,1,2011-11-08 18:29:00,2.46,,United Kingdom,online_retail_I,False,2.46
570237,22429,ENAMEL MEASURING JUG CREAM,2,2011-10-09 14:48:00,4.25,13212.0,United Kingdom,online_retail_I,False,8.5
500025,22483,RED GINGHAM TEDDY BEAR ,3,2010-03-04 11:11:00,2.95,15950.0,United Kingdom,online_retail_II,False,8.850000000000001
503976,47580,TEA TIME DES TEA COSY,1,2010-04-08 19:13:00,2.55,17602.0,United Kingdom,online_retail_II,False,2.55
559933,23317,BLUE REFECTORY CLOCK ,1,2011-07-14 09:54:00,9.95,16719.0,United Kingdom,online_retail_I,False,9.95
566605,23389,SPACEBOY MINI BACKPACK,1,2011-09-13 16:27:00,4.15,13263.0,United Kingdom,online_retail_I,False,4.15
503185,21871,SAVE THE PLANET MUG,2,2010-03-30 14:29:00,3.36,,United Kingdom,online_retail_II,False,6.72
511471,21390,FILIGRIS HEART WITH BUTTERFLY,6,2010-06-08 13:22:00,1.25,17449.0,United Kingdom,online_retail_II,False,7.5
577503,84997D,CHILDRENS CUTLERY POLKADOT PINK,2,2011-11-20 12:34:00,4.15,18110.0,United Kingdom,online_retail_I,False,8.3
568069,21213,PACK OF 72 SKULL CAKE CASES,24,2011-09-23 14:05:00,0.55,13336.0,United Kingdom,online_retail_I,False,13.200000000000001
492529,21740,COSY SLIPPER SHOES LARGE RED,2,2009-12-17 12:46:00,2.95,17377.0,United Kingdom,online_retail_II,False,5.9
501470,21429,RED GINGHAM ROSE JEWELLERY BOX,1,2010-03-16 16:18:00,1.65,17596.0,United Kingdom,online_retail_II,False,1.65
577297,22801,ANTIQUE GLASS PEDESTAL BOWL,1,2011-11-18 12:48:00,3.75,14593.0,United Kingdom,online_retail_I,False,3.75
570482,23310,BUBBLEGUM RING ASSORTED,36,2011-10-10 17:00:00,0.42,17459.0,United Kingdom,online_retail_I,False,15.12
527520,15056N,EDWARDIAN PARASOL NATURAL,7,2010-10-18 13:18:00,5.95,,United Kingdom,online_retail_II,False,41.65
C496287,79323W, WHITE CHERRY LIGHTS,-11,2010-01-29 17:03:00,5.45,17603.0,United Kingdom,online_retail_II,True,-59.95
564835,21544,SKULLS  WATER TRANSFER TATTOOS ,1,2011-08-30 12:31:00,1.63,,United Kingdom,online_retail_I,False,1.63
